epoch,val acc,val auc,val f1,val kappa,val specificity
44,0.046191979884550954,0.13665662962174152
46,0.04615451382311849,0.136911189090001
48,0.0460300737247076,0.13844853393793707
50,0.04683863682021208,0.14106369377202882
52,0.04687679460655934,0.1359587290762766
54,0.04290920125905614,0.1309518894015085
56,0.04421430450405723,0.1334999137568424
58,0.04443691380722337,0.13592278838285918
60,0.042698864013024855,0.12841477751922045
62,0.047349543209341566,0.1381016199569332
64,0.04270027549216841,0.12915385394464873
66,0.046818899760395404,0.13733335127956556
68,0.044492559666648016,0.13182709905335388
70,0.04152416394576423,0.1274302273534325
72,0.043249284902456525,0.12890768384619294
74,0.04228067819712273,0.13019652435110224
76,0.04199153211122587,0.1291608887521045
78,0.045113567641528865,0.13413775534196987
80,0.045662073681152604,0.1346134974343685
